doi,url,title,journal,publisher,year,vol,issue,Include,Location Appropriate,# Coords,Coord Type,Coordinate Text,Comments,RE_Lat,RE_Long
10.1371/journal.pone.0107775,https://dx.doi.org/10.1371/journal.pone.0107775,Inorganic Nitrogen Supply and Dissolved Organic Nitrogen Abundance across the US Great Plains,PLoS ONE,PLoS,2014,9,9,1,Y,5,point,In Table,,40.81333,-104.71333
10.1371/journal.pone.0107792,https://dx.doi.org/10.1371/journal.pone.0107792,The Reduced Effectiveness of Protected Areas under Climate Change Threatens Atlantic Forest Tiger Moths,PLoS ONE,PLoS,2014,9,9,1,Y,0,region,Atlantic Forest Biodiversity Hotspot in Brazil,,-27.09326,-50.855444
10.1371/journal.pone.0075396,https://dx.doi.org/10.1371/journal.pone.0075396,Evaluating Ecosystem Services Provided by Non-Native Species: An Experimental Test in California Grasslands,PLoS ONE,PLoS,2014,9,9,1,Y,1,Point,"39° 15' N, 121° 17' W",,39.25,-121.28333
10.1371/journal.pone.0107126,https://dx.doi.org/10.1371/journal.pone.0107126,Accounting for Biomass Carbon Stock Change Due to Wildfire in Temperate Forest Landscapes in Australia,PLoS ONE,PLoS,2014,9,9,1,y,0,region,"Central Highlands of Victoria, Australia",,-37.5,146
10.1371/journal.pone.0105869,https://dx.doi.org/10.1371/journal.pone.0105869,Deforestation and Benthic Indicators: How Much Vegetation Cover Is Needed to Sustain Healthy Andean Streams?,PLoS ONE,PLoS,2014,9,8,1,Y,0,region,"Zamora River basin, located in the mountain forests in Ecuadorian southern Andes",,-4,-79.2
10.1371/journal.pone.0100646,https://dx.doi.org/10.1371/journal.pone.0100646,How Can We Identify and Communicate the Ecological Value of Deep-Sea Ecosystem Services?,PLoS ONE,PLoS,2014,9,7,1,Y,0,region,Nazaré Canyon on the Portuguese continental margin,,39.61541,-9.33587
10.1371/journal.pone.0101928,https://dx.doi.org/10.1371/journal.pone.0101928,Different Assembly Processes Drive Shifts in Species and Functional Composition in Experimental Grasslands Varying in Sown Diversity and Community History,PLoS ONE,PLoS,2014,9,7,1,Y,1,point,"50°55? N, 11°35? E",,50.91667,11.58333
10.1371/journal.pone.0102090,https://dx.doi.org/10.1371/journal.pone.0102090,Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel,PLoS ONE,PLoS,2014,9,7,1,Y,3,point,"32°54?N, 35°05?E;  32°58?N, 35°04?E; 32°54?N, 35°06?E",,32.9,35.08333
10.1371/journal.pone.0097910,https://dx.doi.org/10.1371/journal.pone.0097910,Biodiversity Mapping in a Tropical West African Forest with Airborne Hyperspectral Data,PLoS ONE,PLoS,2014,9,6,1,Y,2,point," N307591, E858452 (northeast) and N253197, E807411(southwest)",,7.68165,-10.84386
10.1371/journal.pone.0099385,https://dx.doi.org/10.1371/journal.pone.0099385,"Effects of Fertilization and Clipping on Carbon, Nitrogen Storage, and Soil Microbial Activity in a Natural Grassland in Southern China",PLoS ONE,PLoS,2014,9,6,1,Y,1,point,"110°56?E, 31°4?N",,31.06667,110.93333
10.1371/journal.pone.0098931,https://dx.doi.org/10.1371/journal.pone.0098931,Conserving Tropical Tree Diversity and Forest Structure: The Value of Small Rainforest Patches in Moderately-Managed Landscapes,PLoS ONE,PLoS,2014,9,6,1,Y,1,bounding Box,"16°04?–16°21?N, 90°40?–91°06?W",,16.35,90.66667
10.1371/journal.pone.0098454,https://dx.doi.org/10.1371/journal.pone.0098454,"Diversity and Communities of Foliar Endophytic Fungi from Different Agroecosystems of Coffea arabica L. in Two Regions of Veracruz, Mexico",PLoS ONE,PLoS,2014,9,6,1,Y,0,region,"Coatepec region, Veracruz, Mexico",,19.45507,-96.95911
10.1371/journal.pone.0098454,https://dx.doi.org/10.1371/journal.pone.0098454,"Diversity and Communities of Foliar Endophytic Fungi from Different Agroecosystems of Coffea arabica L. in Two Regions of Veracruz, Mexico",PLoS ONE,PLoS,2014,9,6,1,Y,0,region,"Huatusco region, Veracruz, Mexico",,19.1499,-96.97134
10.1371/journal.pone.0095938,https://dx.doi.org/10.1371/journal.pone.0095938,Scaling Relationships between Leaf Mass and Total Plant Mass across Chinese Forests,PLoS ONE,PLoS,2014,9,4,1,Y,0,region,Changbai Mountain Forest Ecosystem Research Station,,41.74558,127.96543
10.1371/journal.pone.0095890,https://dx.doi.org/10.1371/journal.pone.0095890,Which Models Are Appropriate for Six Subtropical Forests: Species-Area and Species-Abundance Models,PLoS ONE,PLoS,2014,9,4,1,Y,4,bounding Box,"(110°30?E, 25°56?N) (112°56?–113°4?E, 24°30?–24°48?N), (112°30?39?–112°33?41?E,23°09?21?–23°11?30? N) (114°05?–114°23?E,26°22?–26°48? N)",,25.93333,110.5
10.1371/journal.pone.0095081,https://dx.doi.org/10.1371/journal.pone.0095081,"The Efficacy of Landscape-Level Conservation in Changbai Mountain Biosphere Reserve, China",PLoS ONE,PLoS,2014,9,4,1,Y,1,bounding Box,"127°42?55?–128°16?48?E, 41°41?49?–42°25?18?N",,42.05833333,128
10.1371/journal.pone.0093733,https://dx.doi.org/10.1371/journal.pone.0093733,Facilitation Drives the Positive Effects of Plant Richness on Trace Metal Removal in a Biodiversity Experiment,PLoS ONE,PLoS,2014,9,4,1,Y,1,point,"(28°34?23?N, 120°53?44?E)",,28.57306,120.89556
10.1371/journal.pone.0092517,https://dx.doi.org/10.1371/journal.pone.0092517,Ammonium as a Driving Force of Plant Diversity and Ecosystem Functioning: Observations Based on 5 Years' Manipulation of N Dose and Form in a Mediterranean Ecosystem,PLoS ONE,PLoS,2014,9,4,1,Y,1,point,38°29?N - 9°1?W,,38.48333,-9.01667
10.1371/journal.pone.0090513,https://dx.doi.org/10.1371/journal.pone.0090513,Land Planarian Assemblages in Protected Areas of the Interior Atlantic Forest: Implications for Conservation,PLoS ONE,PLoS,2014,9,3,1,Y,2,point,"(25° 59? S, 54° 05? W) (26° 02? S, 53° 47? W)",,-25.98333,-54.08333
10.1371/journal.pone.0089084,https://dx.doi.org/10.1371/journal.pone.0089084,Identifying Priority Areas for Conservation and Management in Diverse Tropical Forests,PLoS ONE,PLoS,2014,9,2,1,Y,1,bounding Box,14°39?S to 20°24?S and 143°54?E to 147°30?E,,-20.4,143.9
10.1371/journal.pone.0081226,https://dx.doi.org/10.1371/journal.pone.0081226,Indigenous Burning as Conservation Practice: Neotropical Savanna Recovery amid Agribusiness Deforestation in Central Brazil,PLoS ONE,PLoS,2013,8,12,1,Y,0,region,"Pimentel Barbosa Indigenous Reserve, Mato Grosso State, Brazil",,-13.32286,-51.67988
10.1371/journal.pone.0082468,https://dx.doi.org/10.1371/journal.pone.0082468,Soil Nematode Responses to Increases in Nitrogen Deposition and Precipitation in a Temperate Forest,PLoS ONE,PLoS,2013,8,12,1,Y,2,bounding Box,"(41°23?–42°36?N, 126°55?–129°00?E), (42°24?N, 128°06?E)",,42.6,126.91667
10.1371/journal.pone.0082369,https://dx.doi.org/10.1371/journal.pone.0082369,Forest Loss and the Biodiversity Threshold: An Evaluation Considering Species Habitat Requirements and the Use of Matrix Habitats,PLoS ONE,PLoS,2013,8,12,1,Y,1,bounding Box,(N-S 13°00' -14°50' and E-W 39°00' -39°30') ,,-13,-14.83333
10.1371/journal.pone.0079799,https://dx.doi.org/10.1371/journal.pone.0079799,Ecology of Caribbean Sponges: Are Top-Down or Bottom-Up Processes More Important?,PLoS ONE,PLoS,2013,8,11,1,Y,1,point,"16° 48.16′ N, 88° 04.94′ W",,16.80267,-88.08233
10.1371/journal.pone.0075439,https://dx.doi.org/10.1371/journal.pone.0075439,Ecological Network Indicators of Ecosystem Status and Change in the Baltic Sea,PLoS ONE,PLoS,2013,8,10,1,Y,0,sub-continent,Baltic Sea,,58.76559,19.81744
10.1371/journal.pone.0074852,https://dx.doi.org/10.1371/journal.pone.0074852,Matrix Intensification Alters Avian Functional Group Composition in Adjacent Rainforest Fragments,PLoS ONE,PLoS,2013,8,9,1,Y,1,sub-continent,(3°5`W-1° 10`E; 4°35`N-11°N),,-0.95833,7.75
10.1371/journal.pone.0072201,https://dx.doi.org/10.1371/journal.pone.0072201,Variation in Carbon Storage and Its Distribution by Stand Age and Forest Type in Boreal and Temperate Forests in Northeastern China,PLoS ONE,PLoS,2013,8,8,1,Y,1,sub-continent,"41°42??53°34?N, 115°37??135°5?E",,53.56667,115.61667
10.1371/journal.pone.0071735,https://dx.doi.org/10.1371/journal.pone.0071735,Food-Web Structure in Relation to Environmental Gradients and Predator-Prey Ratios in Tank-Bromeliad Ecosystems,PLoS ONE,PLoS,2013,8,8,1,Y,0,country,French Guiana,,-4.5,-53
10.1371/journal.pone.0070547,https://dx.doi.org/10.1371/journal.pone.0070547,Ecosystem Health Assessment in the Pearl River Estuary of China by Considering Ecosystem Coordination,PLoS ONE,PLoS,2013,8,7,1,Y,1,bounding Box,"114°37?21?–113°06?48?E, 22°49?00?–22°48?53?N",,22.479669,113.752923
10.1371/journal.pone.0066238,https://dx.doi.org/10.1371/journal.pone.0066238,Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning,PLoS ONE,PLoS,2013,8,6,1,Y,9,point,In Table,,56.33306,-2.77194
10.1371/journal.pone.0059356,https://dx.doi.org/10.1371/journal.pone.0059356,Forest Restoration and Parasitoid Wasp Communities in Montane Hawai’i,PLoS ONE,PLoS,2013,8,3,1,Y,0,region,Hakalau National Forest Wildlife Refuge,,19.80456,-155.32241
10.1371/journal.pone.0049618,https://dx.doi.org/10.1371/journal.pone.0049618,"Kinetic Energy of Throughfall in Subtropical Forests of SE China – Effects of Tree Canopy Structure, Functional Traits, and Biodiversity",PLoS ONE,PLoS,2013,8,2,1,Y,1,Point,N 29°14.657?and E 118°06.805?,,29.24428333,118.1134167
10.1371/journal.pone.0052071,https://dx.doi.org/10.1371/journal.pone.0052071,Nutrient Limitation on Ecosystem Productivity and Processes of Mature and Old-Growth Subtropical Forests in China,PLoS ONE,PLoS,2012,7,12,1,Y,2,bounding Box,"112°31? E to 112°34? E, 23°09? N to 23°12? N",,23.15,112.56667
10.1371/journal.pone.0049795,https://dx.doi.org/10.1371/journal.pone.0049795,Organism-Sediment Interactions Govern Post-Hypoxia Recovery of Ecosystem Functioning,PLoS ONE,PLoS,2012,7,11,1,Y,1,point,"51° 21? 24?? N, 3° 42? 51?? E",100,51.35667,3.71417
10.1371/journal.pone.0047192,https://dx.doi.org/10.1371/journal.pone.0047192,Can Joint Carbon and Biodiversity Management in Tropical Agroforestry Landscapes Be Optimized?,PLoS ONE,PLoS,2012,7,10,1,Y,1,point,"1°30?24?? S, 120°2?11?? E",,-1.50667,120.03639
10.1371/journal.pone.0045334,https://dx.doi.org/10.1371/journal.pone.0045334,Understanding Long-Term Variations in an Elephant Piosphere Effect to Manage Impacts,PLoS ONE,PLoS,2012,7,9,1,Y,1,point,"33°31’S, 25°45’E",,-33.51667,25.75
10.1371/journal.pone.0044925,https://dx.doi.org/10.1371/journal.pone.0044925,Community Biomass and Bottom up Multivariate Nutrient Complementarity Mediate the Effects of Bioturbator Diversity on Pelagic Production,PLoS ONE,PLoS,2012,7,9,1,Y,1,point,"lat 22°50'S, long 44°42'W",,-22.83333,-44.7
10.1371/journal.pone.0042833,https://dx.doi.org/10.1371/journal.pone.0042833,Hierarchical Reproductive Allocation and Allometry within a Perennial Bunchgrass after 11 Years of Nutrient Addition,PLoS ONE,PLoS,2012,7,9,1,Y,1,point,"E 116°42?, N 43°38?",,43.63333,116.7
10.1371/journal.pone.0043943,https://dx.doi.org/10.1371/journal.pone.0043943,Land Cover Change in Colombia: Surprising Forest Recovery Trends between 2001 and 2010,PLoS ONE,PLoS,2012,7,8,1,Y,0,country,Colombia,,3.51771,-72.97869
10.1371/journal.pone.0043626,https://dx.doi.org/10.1371/journal.pone.0043626,A Metacommunity Framework for Enhancing the Effectiveness of Biological Monitoring Strategies,PLoS ONE,PLoS,2012,7,8,1,Y,0,region,Thirty-nine sites located in the Atlantic Forest (state of São Paulo,,-23.86408,-46.70144
10.1371/journal.pone.0042524,https://dx.doi.org/10.1371/journal.pone.0042524,Bacterial Community Dynamics in Full-Scale Activated Sludge Bioreactors: Operational and Ecological Factors Driving Community Assembly and Performance,PLoS ONE,PLoS,2012,7,8,1,Y,2,point,"(18°14?53?N, 67°09?21?W),(18°09’59”N, 66°43?40?W)",,18.24806,-67.15583
10.1371/journal.pone.0041270,https://dx.doi.org/10.1371/journal.pone.0041270,Assemblage of a Semi-Arid Annual Plant Community: Abiotic and Biotic Filters Act Hierarchically,PLoS ONE,PLoS,2012,7,7,1,Y,1,point,40°02?N–3°37?W,,40.03333,-3.61667
10.1371/journal.pone.0037856,https://dx.doi.org/10.1371/journal.pone.0037856,Shorter Food Chain Length in Ancient Lakes: Evidence from a Global Synthesis,PLoS ONE,PLoS,2012,7,6,1,N,0,,,,,
10.1371/journal.pone.0029469,https://dx.doi.org/10.1371/journal.pone.0029469,Local-Scale Drivers of Tree Survival in a Temperate Forest,PLoS ONE,PLoS,2012,7,2,1,Y,1,bounding Box,"Changbai Nature Reserve, 127°42? to 128°17?E and 41°43? to 42°26?N",,42.16797,128.28539
10.1371/journal.pone.0029152,https://dx.doi.org/10.1371/journal.pone.0029152,Small-Scale Heterogeneity in Deep-Sea Nematode Communities around Biogenic Structures,PLoS ONE,PLoS,2011,6,12,1,Y,2,point,"79°N, 04°E, (78°45?N, 04°52?E) ",,79,4
10.1371/journal.pone.0026986,https://dx.doi.org/10.1371/journal.pone.0026986,Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages,PLoS ONE,PLoS,2011,6,10,1,Y,3,Point,"45°11?S, 170°98?E, 42°30?S, 173°30?E, 42°25?S, 173°42?E",,-45.18333,170.15222
10.1371/journal.pone.0023312,https://dx.doi.org/10.1371/journal.pone.0023312,"A Small Mammal Community in a Forest Fragment, Vegetation Corridor and Coffee Matrix System in the Brazilian Atlantic Forest",PLoS ONE,PLoS,2011,6,8,1,Y,1,point,"20°53?57.1?S, 44°50?11.5?W,",,-20.89919,-44.83653
10.1371/journal.pone.0022905,https://dx.doi.org/10.1371/journal.pone.0022905,Predator Diversity and Abundance Provide Little Support for the Enemies Hypothesis in Forests of High Tree Diversity,PLoS ONE,PLoS,2011,6,7,1,Y,1,point,"29°14? N, 118°07? E",,29.23333,118.11667
10.1371/journal.pone.0021265,https://dx.doi.org/10.1371/journal.pone.0021265,Predicting Species Diversity of Benthic Communities within Turbid Nearshore Using Full-Waveform Bathymetric LiDAR and Machine Learners,PLoS ONE,PLoS,2011,6,6,1,Y,1,point,"48°N, 65°W",,48,-65
10.1371/journal.pone.0018982,https://dx.doi.org/10.1371/journal.pone.0018982,Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects,PLoS ONE,PLoS,2011,6,4,1,Y,1,point,"45°40?N, 61°53?W",,45.66667,-61.88333
10.1371/journal.pone.0016584,https://dx.doi.org/10.1371/journal.pone.0016584,Environmental Conditions Influence the Plant Functional Diversity Effect on Potential Denitrification,PLoS ONE,PLoS,2011,6,2,1,Y,0,point,"Duke University Stream and Wetland Assessment Management Park (SWAMP) along Sandy Creek in the Duke Forest in Durham, NC, USA",,35.99063,-78.95516
10.1371/journal.pone.0009677,https://dx.doi.org/10.1371/journal.pone.0009677,Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions,PLoS ONE,PLoS,2010,5,3,1,Y,1,point,"44°39?N, 63°35?W",,44.65,-63.58333
10.1371/journal.pone.0000908,https://dx.doi.org/10.1371/journal.pone.0000908,Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape,PLoS ONE,PLoS,2007,2,9,1,Y,1,point,"8°58?50?S, 36°04?30?W",,-8.98056,-36.075
